"registrim","regisannee","sigle","nbcours","etudiants"
"2","2017","ACM4001","1","20"
"2","2017","ACM6032","1","15"
"2","2017","ADM9100","1","4"
"2","2017","ALB1031","1","20"
"2","2017","ALL1100","1","33"
"2","2017","ANG2051","1","43"
"2","2017","ANG2052","1","31"
"2","2017","ANG2156","1","34"
"2","2017","ANG3002","1","32"
"2","2017","ANG3052","1","29"
"2","2017","ANG3055","1","37"
"2","2017","ANG3067","1","29"
"2","2017","ANG3154","1","38"
"2","2017","ANG3155","1","37"
"2","2017","ANG3158","1","34"
"2","2017","ANG4002","1","20"
"2","2017","ANG4051","1","16"
"2","2017","ANG4152","1","15"
"2","2017","ARA1100","1","34"
"2","2017","ARA1220","1","25"
"2","2017","ASC6003","1","41"
"2","2017","ASS1351","1","35"
"2","2017","ASS7107","1","13"
"2","2017","ASS7161","2","27"
"2","2017","ASS7302","2","36"
"2","2017","ASS8020","3","38"
"2","2017","AUT300A","1","22"
"2","2017","AVI1301","2","30"
"2","2017","AVI1302","2","29"
"2","2017","AVI1902","1","35"
"2","2017","AVM2341","1","17"
"2","2017","BIO6031","1","14"
"2","2017","BIO6600","1","1"
"2","2017","CAR2600","1","22"
"2","2017","CAR2700","1","16"
"2","2017","CAR7803","1","13"
"2","2017","CAR8930","1","25"
"2","2017","CHI0310","1","42"
"2","2017","CHI1560","1","24"
"2","2017","CHI2104","1","15"
"2","2017","CHI2511","1","16"
"2","2017","CHN1100","1","16"
"2","2017","CHN1200","1","17"
"2","2017","COM1012","1","20"
"2","2017","COM1070","1","40"
"2","2017","COM1136","1","22"
"2","2017","COM2025","1","45"
"2","2017","COM3113","1","30"
"2","2017","COM3400","1","19"
"2","2017","COM5030","1","40"
"2","2017","COM7603","1","7"
"2","2017","COM7814","1","4"
"2","2017","COM8121","1","10"
"2","2017","DCM7122","1","17"
"2","2017","DDD2230","1","43"
"2","2017","DDD2650","1","23"
"2","2017","DDD3650","3","83"
"1","2017","DDD3650","1","26"
"2","2017","DDD7650","1","13"
"2","2017","DDD7692","1","19"
"2","2017","DDD7696","1","5"
"2","2017","DDD8020","1","11"
"2","2017","DDD828h","1","10"
"2","2017","DDD828K","1","21"
"2","2017","DDD828L","1","8"
"2","2017","DDD8531","1","15"
"2","2017","DDD9691","1","4"
"2","2017","DDL6000","5","230"
"2","2017","DDL814C","1","8"
"2","2017","DDL824H","1","15"
"2","2017","DDL8535","1","12"
"2","2017","DES5525","1","17"
"2","2017","DES7002","1","4"
"2","2017","DES7003","1","6"
"2","2017","DLS4018","1","28"
"2","2017","DLS4518","3","50"
"1","2017","DLS4701","1","8"
"2","2017","DSR2010","3","110"
"2","2017","DSR5100","7","405"
"2","2017","DSR5560","1","39"
"2","2017","DSR6102","1","38"
"2","2017","DSR8402","1","4"
"2","2017","DSR8439","1","51"
"2","2017","ECO1012","1","30"
"2","2017","ECO1022","1","43"
"2","2017","ECO1061","1","51"
"2","2017","ECO1300","3","97"
"2","2017","ECO2400","6","270"
"2","2017","ECO3400","1","48"
"2","2017","ECO3550","1","48"
"2","2017","ECO8601","1","18"
"2","2017","EDM7704","1","11"
"2","2017","EDM7805","1","7"
"2","2017","EDM7815","1","8"
"2","2017","EFA1013","1","35"
"2","2017","EFA7800","1","10"
"2","2017","EFA7801","1","9"
"2","2017","EFA7967","1","6"
"2","2017","ENV773M","1","9"
"2","2017","ENV7801","2","19"
"2","2017","ENV8080","1","9"
"2","2017","ENV956B","1","12"
"2","2017","ERG7007","1","11"
"2","2017","ERG7100","1","12"
"2","2017","ERG8500","1","9"
"2","2017","ESG6191","1","36"
"2","2017","ESG6192","1","9"
"2","2017","ESG6691","1","26"
"2","2017","ESP1000","3","112"
"2","2017","ESP1200","1","36"
"2","2017","EST1010","1","6"
"2","2017","EST3295","1","9"
"2","2017","EST840H","1","11"
"2","2017","EUT1072","1","105"
"2","2017","EUT5201","1","18"
"2","2017","EUT5202","1","3"
"2","2017","EUT5510","1","15"
"2","2017","FCE4001","1","22"
"2","2017","FCM5400","1","26"
"2","2017","FEM5000","1","24"
"2","2017","FFM3500","1","2"
"2","2017","FIN3500","7","404"
"2","2017","FIN5401","1","34"
"2","2017","FIN5521","1","50"
"2","2017","FIN5570","1","40"
"2","2017","FIN8310","1","15"
"2","2017","FIN8511","1","9"
"2","2017","FIN8617","1","14"
"2","2017","FIN8626","1","33"
"2","2017","FLS2210","1","41"
"2","2017","FLS2300","1","41"
"2","2017","FLS2400","1","44"
"1","2016","FLS2400","1","41"
"2","2017","FLS2510","1","40"
"2","2017","FLS3510","1","37"
"2","2017","FPE3050","1","46"
"1","2017","FPE4250","1","58"
"2","2017","FPE4250","1","47"
"2","2017","FPE4511","1","41"
"2","2017","FPE4520","1","38"
"2","2017","FPE7008","2","33"
"2","2017","FPE7050","2","28"
"2","2017","FPE7251","1","7"
"2","2017","FPE7291","1","9"
"2","2017","FPE7550","1","16"
"2","2017","FPT1521","1","36"
"2","2017","FPT1530","1","19"
"2","2017","FPT2530","1","28"
"2","2017","FPT2531","1","48"
"2","2017","FPT2540","1","39"
"2","2017","FPT7491","1","18"
"2","2017","FSH8000","1","6"
"2","2017","GHR5201","1","5"
"2","2017","HAM585H","1","12"
"2","2017","HAR1430","1","26"
"2","2017","HAR4550","1","31"
"2","2017","HIM114F","1","19"
"2","2017","HIS2210","1","37"
"2","2017","HIS2315","1","52"
"2","2017","HIS4487","1","62"
"2","2017","INF1026","1","44"
"2","2017","INF1120","1","55"
"2","2017","INF2120","2","83"
"2","2017","INF2170","2","76"
"2","2017","INF3105","1","45"
"2","2017","INF3135","1","71"
"2","2017","INF3180","1","27"
"2","2017","INF5151","1","34"
"2","2017","INF5153","1","24"
"1","2017","INF6150","1","23"
"2","2017","INF6150","1","29"
"2","2017","INF6160","1","23"
"2","2017","INM5151","1","24"
"2","2017","INM6000","1","43"
"2","2017","JPN1100","1","34"
"2","2017","JUM4529","1","23"
"2","2017","JUR1031","5","191"
"2","2017","JUR1055","1","50"
"2","2017","JUR2525","1","36"
"2","2017","JUR2530","1","60"
"2","2017","JUR5531","1","63"
"2","2017","JUR6535","1","51"
"2","2017","JUR6560","1","71"
"2","2017","JUR665G","1","41"
"2","2017","JUR665U","1","37"
"2","2017","KIN2350","1","37"
"2","2017","KIN7441","1","15"
"2","2017","KIN7442","1","5"
"2","2017","LIN1002","5","183"
"2","2017","LIN1009","3","90"
"2","2017","LIN1018","2","27"
"2","2017","LIN1019","3","44"
"2","2017","LIN1020","5","209"
"2","2017","LIN1021","1","25"
"2","2017","LIN3039","1","14"
"2","2017","LIN4580","1","25"
"2","2017","LIT1628","1","24"
"2","2017","MAE7965","1","3"
"2","2017","MAE7990","1","6"
"2","2017","MAT0339","1","32"
"2","2017","MAT0343","1","16"
"2","2017","MAT2027","1","32"
"2","2017","MAT2080","2","84"
"2","2017","MAT8185","1","9"
"2","2017","MBA8137","2","26"
"2","2017","MBA8410","1","4"
"2","2017","MBA8415","2","28"
"2","2017","MBA8416","4","61"
"2","2017","MBA8417","6","147"
"2","2017","MBA8418","4","93"
"2","2017","MBA8419","3","68"
"2","2017","MBA8421","1","26"
"2","2017","MBA8422","3","51"
"2","2017","MBA8425","1","52"
"2","2017","MBA8430","1","19"
"2","2017","MBA8439","1","11"
"2","2017","MBA8449","1","11"
"2","2017","MBA8513","1","17"
"2","2017","MBA8514","2","36"
"2","2017","MBA8519","1","24"
"2","2017","MBA8521","1","23"
"2","2017","MBA8S92","2","36"
"2","2017","MBA8T1D","1","19"
"1","2017","MBA8T21","1","19"
"2","2017","MBA8T2B","1","26"
"2","2017","MDT8433","1","11"
"2","2017","MEA8020","2","25"
"2","2017","MET1300","3","105"
"2","2017","MET2100","5","277"
"2","2017","MET3122","1","54"
"2","2017","MET3220","1","57"
"2","2017","MET3224","1","40"
"2","2017","MET4261","4","207"
"2","2017","MET5122","1","33"
"2","2017","MET8200","1","11"
"2","2017","MET8610","1","11"
"2","2017","MET8920","1","18"
"2","2017","MGL7240","1","10"
"2","2017","MGL7560","1","29"
"2","2017","MGP700B","2","19"
"2","2017","MGP700C","2","18"
"2","2017","MGP7121","1","15"
"2","2017","MGP7123","1","26"
"2","2017","MGP7130","1","17"
"2","2017","MGP7136","1","11"
"2","2017","MGP7206","1","23"
"2","2017","MGP7208","1","12"
"2","2017","MGP7210","1","5"
"2","2017","MGP7211","1","12"
"2","2017","MGP7216","1","20"
"2","2017","MGP7217","1","18"
"2","2017","MGP7220","1","22"
"2","2017","MGP7900","2","48"
"2","2017","MGP8192","1","2"
"2","2017","MKG3300","6","250"
"2","2017","MKG5301","1","50"
"2","2017","MKG5305","1","30"
"2","2017","MKG5321","1","44"
"2","2017","MKG5329","1","16"
"2","2017","MKG8409","1","11"
"2","2017","MKG8412","1","7"
"2","2017","MKG8425","1","43"
"2","2017","MOS5140","1","25"
"2","2017","MUS8230","1","16"
"2","2017","ORH1163","7","247"
"2","2017","ORH1600","4","163"
"2","2017","ORH1610","1","35"
"2","2017","ORH1620","1","40"
"2","2017","ORH1630","2","90"
"2","2017","ORH1640","1","49"
"2","2017","ORH2010","1","43"
"2","2017","ORH2130","1","50"
"2","2017","ORH2162","1","38"
"2","2017","ORH3160","2","47"
"2","2017","ORH3630","1","42"
"2","2017","ORH5435","1","57"
"2","2017","ORH5439","1","44"
"2","2017","ORH5610","1","39"
"2","2017","ORH6000","2","78"
"2","2017","ORH6950","1","29"
"2","2017","ORH7418","1","10"
"2","2017","ORH8402","2","27"
"2","2017","ORH8411","1","21"
"2","2017","ORH8418","2","43"
"2","2017","POL1400","1","64"
"2","2017","POL1501","1","62"
"2","2017","POL1600","1","65"
"2","2017","POL1800","1","50"
"2","2017","POL4422","1","27"
"2","2017","POL4441","1","36"
"2","2017","POL4492","1","35"
"2","2017","POL4701","1","33"
"2","2017","POL5875","1","27"
"2","2017","PRM1111","1","4"
"2","2017","PRM1212","1","17"
"2","2017","PRM3001","1","5"
"2","2017","PRM3003","1","2"
"2","2017","PRM3004","1","4"
"2","2017","PRM3011","1","2"
"2","2017","PRM3016","1","3"
"3","2017","PSY2682","1","42"
"2","2017","PSY4020","1","48"
"2","2017","PSY4060","1","42"
"2","2017","PSY4100","1","95"
"2","2017","PSY4110","1","97"
"2","2017","PSY8414","1","31"
"3","2017","PSY9421","1","23"
"2","2017","PSY9430","1","14"
"2","2017","PSY9532","1","9"
"2","2017","REL2614","1","45"
"2","2017","SCO1240","2","65"
"2","2017","SCO1250","5","211"
"2","2017","SCO2000","2","128"
"2","2017","SCO2001","2","48"
"2","2017","SCO3001","2","71"
"2","2017","SCO3006","1","42"
"2","2017","SCO3008","1","43"
"2","2017","SCO3240","2","76"
"2","2017","SCO4004","1","42"
"2","2017","SCO4240","1","46"
"2","2017","SCO5240","1","48"
"2","2017","SCO6004","1","48"
"2","2017","SCO6008","1","41"
"2","2017","SCO6250","1","51"
"2","2017","SCO7311","4","102"
"2","2017","SCO7313","3","122"
"2","2017","SCO7410","1","43"
"2","2017","SCO8250","1","7"
"2","2017","SCO8801","1","16"
"2","2017","SCT3261","2","67"
"2","2017","SCT6810","1","27"
"2","2017","SCT6820","1","20"
"2","2017","SEX1106","1","76"
"2","2017","SEX1205","1","32"
"2","2017","SEX2207","1","16"
"2","2017","SEX3213","1","44"
"2","2017","SEX4004","1","33"
"2","2017","SEX8305","1","18"
"2","2017","SOC3630","1","37"
"2","2017","SOC6107","1","22"
"2","2017","SOC6221","1","47"
"2","2017","SOC8695","1","11"
"2","2017","SOC8710","1","17"
"2","2017","STT1000","1","49"
"2","2017","TRS1020","1","38"
"2","2017","TRS1550","1","20"
"2","2017","TRS1600","1","35"
"2","2017","TRS2100","1","42"
"2","2017","TRS3150","1","43"
"2","2017","TRS8440","1","16"
